#,Col,Row,ToT,TS,Amp,RO_Time
0,9,313,2,0,0,5301
0,27,0,2,0,0,5301
0,19,256,2,0,0,5326
0,4,210,2,0,0,5351
0,14,124,2,0,0,5351
0,25,161,2,0,0,5351
0,16,91,2,0,0,5351
0,27,106,2,0,0,5351
0,24,91,2,0,0,5376
0,24,91,2,0,0,5376
0,20,106,2,0,0,5376
0,12,110,2,0,0,5401
0,11,23,2,0,0,5401
0,12,12,2,0,0,5401
0,28,78,2,0,0,5426
0,15,70,2,0,0,5426
0,13,81,2,0,0,5451
0,21,284,2,0,0,5476
0,6,86,2,0,0,5476
0,9,312,2,0,0,5501
0,17,276,2,0,0,5501
0,16,47,2,0,0,5526
0,12,84,2,0,0,5576
0,5,73,2,0,0,5601
0,17,200,2,0,0,5601
0,14,145,2,0,0,5626
0,13,203,2,0,0,5677
0,9,21,2,0,0,5751
0,9,82,2,0,0,5751
0,10,275,2,0,0,5776
0,26,96,2,0,0,5776
0,25,292,2,0,0,5801
0,4,255,2,0,0,5826
0,28,239,2,0,0,5826
0,27,78,2,0,0,5876
0,20,24,2,0,0,5876
0,23,28,2,0,0,5876
0,6,39,2,0,0,5876
0,14,136,2,0,0,5901
0,8,81,2,0,0,5901
0,4,270,2,0,0,5926
0,17,199,2,0,0,5951
0,5,213,2,0,0,5951
0,7,4,2,0,0,5976
0,13,254,2,0,0,6001
0,19,172,2,0,0,6001
0,22,121,2,0,0,6001
0,26,87,2,0,0,6026
0,6,194,2,0,0,6026
0,0,156,2,0,0,6051
0,19,308,2,0,0,6076
0,6,309,2,0,0,6076
0,0,26,2,0,0,6076
0,8,248,2,0,0,6101
0,28,9,2,0,0,6126
0,19,268,2,0,0,6176
0,7,30,2,0,0,6251
0,19,159,2,0,0,6251
0,5,292,2,0,0,6251
0,13,18,2,0,0,6252
0,12,291,2,0,0,6301
0,16,131,2,0,0,6326
0,6,281,2,0,0,6351
0,9,78,2,0,0,6401
0,17,201,2,0,0,6401
0,1,312,2,0,0,6401
0,19,51,2,0,0,6426
0,13,61,2,0,0,6426
0,19,66,2,0,0,6451
0,7,193,2,0,0,6476
0,7,173,2,0,0,6476
0,23,176,2,0,0,6476
0,4,78,2,0,0,6501
0,9,14,2,0,0,6526
0,15,236,2,0,0,6551
0,16,233,2,0,0,6551
0,28,13,2,0,0,6552
0,3,41,2,0,0,6576
0,12,167,2,0,0,6601
0,7,11,2,0,0,6601
0,7,100,2,0,0,6626
0,9,217,2,0,0,6676
0,26,271,2,0,0,6676
0,2,191,2,0,0,6751
0,17,273,2,0,0,6751
0,3,216,2,0,0,6751
0,21,284,2,0,0,6801
0,10,133,2,0,0,6801
0,1,314,2,0,0,6826
0,27,32,2,0,0,6851
0,3,271,2,0,0,6851
0,21,108,2,0,0,6876
0,26,64,2,0,0,6901
0,8,301,2,0,0,6926
0,28,256,2,0,0,6926
0,17,236,2,0,0,6926
0,21,84,2,0,0,6976
0,1,37,2,0,0,7001
0,10,127,2,0,0,7027
0,27,95,2,0,0,7051
0,17,106,2,0,0,7101
0,4,37,2,0,0,7176
0,18,3,2,0,0,7201
0,6,75,2,0,0,7226
0,21,297,2,0,0,7226
0,21,298,2,0,0,7226
0,8,69,2,0,0,7301
0,5,278,2,0,0,7301
0,18,242,2,0,0,7301
0,10,238,2,0,0,7326
0,8,84,2,0,0,7326
0,12,98,2,0,0,7326
0,24,267,2,0,0,7376
0,18,163,2,0,0,7376
0,1,296,2,0,0,7426
0,3,149,2,0,0,7426
0,13,194,2,0,0,7426
0,24,261,2,0,0,7451
0,6,85,2,0,0,7451
0,18,117,2,0,0,7476
0,10,243,2,0,0,7526
0,12,165,2,0,0,7526
0,24,31,2,0,0,7526
0,23,125,2,0,0,7526
0,19,3,2,0,0,7551
0,5,253,2,0,0,7551
0,20,161,2,0,0,7551
0,7,189,2,0,0,7601
0,20,108,2,0,0,7601
0,14,89,2,0,0,7601
0,11,241,2,0,0,7626
0,28,280,2,0,0,7651
0,7,270,2,0,0,7676
0,3,61,2,0,0,7701
0,13,49,2,0,0,7701
0,16,46,2,0,0,7701
0,2,144,2,0,0,7701
0,20,295,2,0,0,7701
0,9,227,2,0,0,7726
0,11,112,2,0,0,7726
0,4,256,2,0,0,7776
0,19,105,2,0,0,7826
0,19,76,2,0,0,7826
0,2,186,2,0,0,7826
0,6,212,2,0,0,7851
0,21,313,2,0,0,7851
0,19,195,2,0,0,7876
0,3,132,2,0,0,7876
0,2,9,2,0,0,7876
0,26,259,2,0,0,7901
0,19,299,2,0,0,7901
0,7,233,2,0,0,7976
0,14,219,2,0,0,7976
0,8,134,2,0,0,8001
0,0,198,2,0,0,8026
0,5,99,2,0,0,8051
0,8,76,2,0,0,8076
0,11,164,2,0,0,8076
0,2,250,2,0,0,8076
0,3,2,2,0,0,8102
0,13,137,2,0,0,8126
0,22,147,2,0,0,8151
0,17,161,2,0,0,8151
0,20,147,2,0,0,8176
0,1,283,2,0,0,8201
0,6,290,2,0,0,8226
0,6,290,2,0,0,8226
0,24,115,2,0,0,8226
0,10,220,2,0,0,8226
0,17,277,2,0,0,8276
0,6,41,2,0,0,8301
0,5,175,2,0,0,8326
0,26,37,2,0,0,8326
0,6,146,2,0,0,8351
0,11,305,2,0,0,8351
0,7,267,2,0,0,8401
0,14,36,2,0,0,8401
0,15,273,2,0,0,8427
0,12,40,2,0,0,8451
0,18,259,2,0,0,8451
0,17,269,2,0,0,8452
0,0,98,2,0,0,8501
0,25,27,2,0,0,8526
0,16,131,2,0,0,8526
0,2,269,2,0,0,8526
0,24,33,2,0,0,8601
0,16,4,2,0,0,8601
0,7,84,2,0,0,8601
0,19,10,2,0,0,8626
0,9,53,2,0,0,8626
0,10,84,2,0,0,8626
0,4,203,2,0,0,8651
0,9,85,2,0,0,8676
0,16,73,2,0,0,8701
0,1,281,2,0,0,8726
0,15,111,2,0,0,8726
0,15,255,2,0,0,8801
0,2,200,2,0,0,8826
0,22,231,2,0,0,8851
0,2,246,2,0,0,8901
0,2,246,2,0,0,8901
0,2,246,2,0,0,8901
0,2,246,2,0,0,8901
0,2,246,2,0,0,8901
0,2,246,2,0,0,8901
0,2,246,2,0,0,8901
0,3,228,2,0,0,9001
0,3,236,2,0,0,9026
0,3,236,2,0,0,9026
0,17,176,2,0,0,9026
0,11,283,2,0,0,9076
0,17,316,2,0,0,9076
0,21,285,2,0,0,9101
0,15,67,2,0,0,9126
0,24,114,2,0,0,9126
0,20,301,2,0,0,9126
0,16,96,2,0,0,9201
0,13,241,2,0,0,9226
0,24,263,2,0,0,9226
0,4,160,2,0,0,9251
0,19,93,2,0,0,9251
0,27,256,2,0,0,9254
0,3,28,2,0,0,9276
0,4,43,2,0,0,9301
0,9,130,2,0,0,9351
0,27,45,2,0,0,9351
0,6,47,2,0,0,9376
0,4,192,2,0,0,9377
0,5,18,2,0,0,9401
0,19,170,2,0,0,9426
0,19,170,2,0,0,9426
0,28,191,2,0,0,9451
0,11,197,2,0,0,9451
0,24,124,2,0,0,9501
0,0,272,2,0,0,9501
0,5,98,2,0,0,9551
0,26,255,2,0,0,9576
0,12,70,2,0,0,9605
0,7,60,2,0,0,9626
0,16,241,2,0,0,9651
0,16,291,2,0,0,9651
0,13,306,2,0,0,9651
0,11,228,2,0,0,9651
0,21,40,2,0,0,9676
0,2,38,2,0,0,9676
0,27,44,2,0,0,9701
0,11,246,2,0,0,9726
0,19,135,2,0,0,9751
0,1,63,2,0,0,9751
0,22,201,2,0,0,9751
0,25,172,2,0,0,9751
0,11,83,2,0,0,9776
0,11,83,2,0,0,9776
0,20,16,2,0,0,9776
0,10,61,2,0,0,9801
0,1,152,2,0,0,9851
0,18,144,2,0,0,9876
0,7,225,2,0,0,9876
0,20,129,2,0,0,9901
0,1,55,2,0,0,9901
0,9,138,2,0,0,9903
0,20,102,2,0,0,9951
0,12,38,2,0,0,9976
0,12,110,2,0,0,10026
0,25,268,2,0,0,10076
0,19,94,2,0,0,10076
0,7,81,2,0,0,10076
0,24,242,2,0,0,10076
0,5,127,2,0,0,10126
0,17,236,2,0,0,10126
0,4,47,2,0,0,10151
0,8,14,2,0,0,10151
0,23,309,2,0,0,10177
0,27,148,2,0,0,10226
0,12,70,2,0,0,10227
0,27,81,2,0,0,10251
0,12,15,2,0,0,10251
0,21,35,2,0,0,10251
