#,Col,Row,ToT,TS,Amp,RO_Time
1,0,0,0,2730,85,4815
2,9,313,2000,42,122,7539
3,14,124,2000,44,124,7589
4,16,91,2000,44,124,7639
5,19,256,2000,43,123,7689
6,25,161,2000,44,124,7739
7,27,106,2000,44,124,7789
8,9,312,1875,50,125,7966
9,13,81,1975,48,127,8016
10,15,70,2000,47,127,8066
11,20,106,2000,45,125,8116
12,21,284,1925,49,126,8166
13,4,255,1225,63,112,8366
14,10,275,1325,61,114,8416
15,12,84,1725,53,122,8466
16,14,145,1625,55,120,8515
17,16,47,1825,51,124,8565
18,28,239,1225,63,112,8615
19,0,26,725,73,102,8815
20,5,292,375,80,95,8865
21,6,194,825,71,104,8915
22,7,30,375,80,95,8965
23,13,254,875,70,105,9015
24,16,131,225,83,92,9065
25,17,199,975,68,107,9115
26,19,268,525,77,98,9164
27,22,121,875,70,105,9214
28,3,216,-625,100,75,9414
29,6,309,725,73,102,9464
30,7,11,-325,94,81,9514
31,12,167,-325,94,81,9564
32,15,236,-225,92,83,9614
33,16,233,-225,92,83,9664
34,17,273,-625,100,75,9714
35,19,66,-25,88,87,9763
36,23,176,-75,89,86,9792
37,28,13,-225,92,83,9841
38,1,314,-775,103,72,10041
39,5,278,-1725,122,53,10091
40,7,100,-375,95,80,10141
41,10,133,-725,102,73,10191
42,12,98,-1775,123,52,10241
43,17,236,-975,107,68,10291
44,18,163,-1875,125,50,10341
45,19,308,725,73,102,10391
46,21,108,-875,105,70,10441
47,24,267,-1875,125,50,10490
48,26,64,-925,106,69,10540
49,28,256,-975,107,68,10590
50,2,186,2000,143,32,10790
51,3,61,2000,138,37,10840
52,4,256,2000,141,34,10890
53,8,134,2000,150,25,10940
54,9,227,2000,139,36,10990
55,11,112,2000,139,36,11040
56,13,49,2000,138,37,11089
57,16,46,2000,138,37,11139
58,18,242,-1725,122,53,11189
59,19,105,2000,143,32,11239
60,1,281,1825,179,3,11439
61,2,269,2000,171,4,11489
62,6,146,2000,164,11,11539
63,7,84,2000,174,1,11589
64,9,53,2000,175,0,11639
65,10,220,2000,159,16,11689
66,11,241,2000,135,40,11738
67,13,137,2000,155,20,11767
68,14,36,2000,166,9,11816
69,16,73,1875,178,2,11866
70,17,161,2000,156,19,11916
71,18,259,2000,168,7,11966
72,19,195,2000,145,30,12016
73,24,33,2000,174,1,12066
74,25,27,2000,171,4,12116
75,26,37,2000,163,12,12166
76,3,228,1275,190,14,12366
77,4,43,675,202,26,12415
78,6,47,525,205,29,12465
79,9,85,1925,177,1,12515
80,15,255,1675,182,6,12565
81,17,277,2000,161,14,12615
82,19,93,775,200,24,12665
83,1,55,-525,226,50,12865
84,3,236,1225,191,15,12915
85,4,192,525,205,29,12965
86,5,127,-975,235,59,13015
87,6,290,2000,159,16,13064
88,7,225,-475,225,49,13114
89,9,130,575,204,28,13164
90,12,15,-1225,240,64,13214
91,16,291,-25,216,40,13264
92,17,316,1125,193,17,13314
93,19,135,-225,220,44,13364
94,20,16,-275,221,45,13414
95,22,201,-225,220,44,13464
96,24,242,-875,233,57,13514
97,25,172,-225,220,44,13564
98,26,255,125,213,37,13614
99,27,44,-125,218,42,13663
100,28,191,375,208,32,13692
101,0,298,-1575,247,71,13891
102,1,63,-225,220,44,13941
103,8,178,2000,261,85,13991
104,12,38,-675,229,53,14041
105,17,51,-1925,254,78,14091
106,20,129,-525,226,50,14141
107,23,248,-1625,248,72,14191
108,25,233,-1925,254,78,14241
109,27,17,2000,263,87,14291
110,0,1,1975,304,127,14490
111,2,105,2000,277,101,14540
112,4,37,2000,270,94,14590
113,7,192,2000,271,95,14640
114,9,29,2000,291,115,14690
115,10,45,2000,290,114,14740
116,11,278,2000,290,114,14790
117,12,51,2000,277,101,14840
118,13,289,2000,286,110,14890
119,14,205,2000,303,127,14940
120,15,95,2000,288,112,14989
121,17,86,2000,288,112,15039
122,20,228,2000,259,83,15089
123,22,2,2000,268,92,15139
124,23,98,2000,283,107,15189
125,0,308,2000,256,80,15389
126,1,279,1425,315,116,15439
127,3,58,875,326,105,15489
128,4,95,2000,289,113,15539
129,6,176,1375,316,115,15589
130,10,119,2000,293,117,15638
131,12,100,2000,261,85,15667
132,15,105,2000,287,111,15716
133,18,4,1375,316,115,15766
134,27,158,1125,321,110,15816
135,0,287,-325,350,81,16016
136,1,145,25,343,88,16066
137,2,125,-475,353,78,16116
138,3,181,125,341,90,16166
139,4,234,1725,309,122,16216
140,6,130,175,340,91,16266
141,8,192,275,338,93,16315
142,10,155,2000,268,92,16365
143,11,243,-775,359,72,16415
144,12,191,1475,314,117,16465
145,15,319,325,337,94,16515
146,17,129,25,343,88,16565
147,18,54,375,336,95,16615
148,24,275,-725,358,73,16665
149,25,94,-825,360,71,16715
150,26,279,-425,352,79,16765
151,28,307,375,336,95,16815
152,1,9,-1275,369,62,17014
153,2,287,-525,354,77,17064
154,6,186,125,341,90,17114
155,8,107,2000,386,45,17164
156,11,234,2000,387,44,17214
157,17,315,575,332,99,17264
158,18,100,-1825,380,51,17314
159,21,73,-1825,380,51,17364
160,22,149,-1825,380,51,17414
161,27,109,-1825,380,51,17464
162,2,88,2000,395,36,17641
163,3,314,2000,424,7,17691
164,5,47,2000,412,19,17741
165,6,111,2000,422,9,17791
166,8,201,2000,414,17,17841
167,9,201,2000,414,17,17891
168,11,285,2000,428,3,17941
169,13,98,2000,404,27,17991
170,18,43,2000,408,23,18041
171,21,268,2000,385,46,18091
172,23,171,2000,413,18,18141
173,24,307,2000,411,20,18191
174,25,68,2000,399,32,18241
175,27,182,2000,428,3,18290
176,28,240,2000,416,15,18340
177,2,259,2000,420,11,18540
178,5,85,925,453,21,18590
179,8,237,2000,408,23,18640
180,13,283,1925,433,1,18690
181,19,86,1575,440,8,18740
182,22,2,925,453,21,18790
183,23,15,1425,443,11,18840
184,24,81,1575,440,8,18889
185,26,49,1725,437,5,18939
186,28,48,1125,449,17,18989
187,2,24,-325,478,46,19189
188,5,80,-525,482,50,19239
189,6,2,-325,478,46,19289
190,8,265,2000,430,1,19339
191,9,163,-475,481,49,19389
192,13,45,-75,473,41,19439
193,15,182,-275,477,45,19489
194,16,44,-75,473,41,19538
195,17,307,125,469,37,19567
196,19,204,-725,486,54,19616
197,20,318,-375,479,47,19666
198,22,38,-825,488,56,19716
199,24,55,-775,487,55,19766
200,26,215,225,467,35,19816
201,1,251,-1525,502,70,20016
202,2,303,-1775,507,75,20066
203,5,245,2000,420,11,20116
204,8,100,-1175,495,63,20166
205,9,85,2000,515,83,20215
206,13,245,-675,485,53,20265
207,21,250,-1725,506,74,20315
208,24,239,2000,516,84,20365
209,2,264,2000,540,108,20565
210,4,46,2000,532,100,20615
211,7,171,2000,535,103,20665
212,9,192,2000,536,104,20715
213,10,52,2000,531,99,20765
214,13,268,-125,474,42,20815
215,26,83,2000,535,103,20864
216,28,14,2000,519,87,20914
217,9,248,2000,524,92,21114
218,10,145,2000,520,88,21164
