Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
2,1,1,-8.438003540039062,7.229799270629883,25.85403060913086,0.0,9,313,2,50.85403060913086,50.85403060913086
3,1,1,-6.802398681640625,4.121700286865234,26.22547912597656,0.0,19,256,2,76.22547912597656,25.3714
4,1,1,-7.66180419921875,-3.176799774169922,26.1843490600586,0.0,14,124,2,101.1843490600586,24.9589
4,1,1,-5.754898071289063,-1.1368999481201172,26.18486976623535,0.0,25,161,2,101.18486976623535,0.0005
4,1,1,-7.22509765625,-4.944900035858154,26.185039520263672,0.0,16,91,2,101.18503952026367,0.0002
4,1,1,-5.394302368164063,-4.122200012207031,26.19034004211425,0.0,27,106,2,101.19034004211426,0.0053
4,1,1,-5.394302368164063,-4.122200012207031,26.19034004211425,0.0,28,106,2,101.19034004211426,0.0
5,1,1,-6.6096038818359375,-4.162899971008301,26.44117927551269,0.0,20,106,2,126.4411792755127,25.2508
7,1,1,-7.49530029296875,-6.097700119018555,26.305700302124023,0.0,15,70,2,176.30570030212402,49.8645
8,1,1,-7.7014007568359375,-5.514200210571289,26.09906959533692,0.0,13,81,2,201.0990695953369,24.7934
9,1,1,-6.489501953125,5.6334991455078125,25.971330642700195,0.0,21,284,2,225.9713306427002,24.8723
10,1,1,-8.36199951171875,7.172100067138672,25.976959228515625,0.0,9,312,2,250.97695922851562,25.0056
11,1,1,-7.30059814453125,-7.381100177764893,26.2829704284668,0.0,16,47,2,276.2829704284668,25.306
13,1,1,-7.879501342773437,-5.349999904632568,26.1949405670166,0.0,12,84,2,326.1949405670166,49.912
15,1,1,-7.6894989013671875,-2.019700050354004,26.162029266357425,0.0,14,145,2,376.1620292663574,49.9671
21,1,1,-8.313507080078125,5.165700912475586,26.055349349975582,0.0,10,275,2,526.0553493499756,149.8933
23,1,1,-9.316696166992188,4.061800003051758,26.23417091369629,0.0,4,255,2,576.2341709136963,50.1788
23,1,1,-5.3126068115234375,3.1711997985839844,26.40846061706543,0.0,28,239,2,576.4084606170654,0.1743
28,1,1,-7.159194946289063,0.9568004608154296,25.96795082092285,0.0,17,199,2,700.9679508209229,124.5595
30,1,1,-7.729202270507812,3.98330020904541,25.8930892944336,0.0,13,254,2,750.8930892944336,49.9251
30,1,1,-6.356597900390625,-3.3416004180908203,25.973020553588867,0.0,22,121,2,750.9730205535889,0.0799
31,1,1,-8.901397705078125,0.717900276184082,26.100460052490234,0.0,6,194,2,776.1004600524902,25.1274
33,1,1,-6.799896240234375,6.97760009765625,26.1872501373291,0.0,19,308,2,826.1872501373291,50.0868
33,1,1,-8.880599975585938,7.016399383544922,26.34881019592285,0.0,6,309,2,826.3488101959229,0.1616
33,1,1,-9.972396850585938,-8.544500350952148,26.47410011291504,0.0,0,26,2,826.474100112915,0.1253
37,1,1,-6.7760009765625,4.748300552368164,26.03745079040528,0.0,19,268,2,926.0374507904053,99.5634
40,1,1,-8.730697631835938,-8.307600021362305,25.98822021484375,0.0,7,30,2,1000.9882202148438,74.9508
40,1,1,-9.064300537109377,6.092399597167969,26.25259017944336,0.0,5,292,2,1001.2525901794434,0.2644
40,1,1,-9.064300537109377,6.092399597167969,26.25259017944336,0.0,5,293,2,1001.2525901794434,0.0
43,1,1,-7.2534027099609375,-2.784099578857422,26.13463020324707,0.0,16,131,2,1076.134630203247,74.882
48,1,1,-6.7904052734375,-6.320000171661377,26.440040588378903,0.0,19,66,2,1201.440040588379,125.3054
49,1,1,-6.1313018798828125,-0.2898998260498047,25.90060043334961,0.0,23,176,2,1225.9006004333496,24.4606
52,1,1,-7.452301025390625,3.0272998809814453,26.124059677124023,0.0,15,236,2,1301.124059677124,75.2235
52,1,1,-7.329803466796875,2.861800193786621,26.38528060913086,0.0,16,233,2,1301.3852806091309,0.2612
52,1,1,-5.325897216796875,-9.2322998046875,26.526599884033203,0.0,28,13,2,1301.5265998840332,0.1413
54,1,1,-7.906097412109375,-0.7659997940063477,26.26240921020508,0.0,12,167,2,1351.262409210205,49.7358
54,1,1,-8.726699829101562,-9.35099983215332,26.34737968444824,0.0,7,11,2,1351.3473796844482,0.085
55,1,1,-8.8070068359375,-4.465199947357178,25.94976043701172,0.0,7,100,2,1375.9497604370117,24.6024
60,1,1,-7.165695190429688,5.0326995849609375,26.10042953491211,0.0,17,273,2,1501.100429534912,125.1507
60,1,1,-9.3572998046875,1.928400039672852,26.1297607421875,0.0,3,216,2,1501.1297607421875,0.0293
62,1,1,-6.503692626953125,5.666599273681641,25.954120635986328,0.0,21,284,2,1550.9541206359863,49.8244
62,1,1,-8.313095092773438,-2.6538000106811523,26.17593002319336,0.0,10,133,2,1551.1759300231934,0.2218
63,1,1,-9.746902465820312,7.324800491333008,26.349119186401367,0.0,1,314,2,1576.3491191864014,25.1732
65,1,1,-6.3834991455078125,-4.008200168609619,26.261430740356445,0.0,21,108,2,1626.2614307403564,49.9123
66,1,1,-5.5724945068359375,-6.478700160980225,26.236160278320312,0.0,26,64,2,1651.2361602783203,24.9747
67,1,1,-5.3455963134765625,4.0970001220703125,26.23617935180664,0.0,28,256,2,1676.2361793518066,25.0
67,1,1,-7.08489990234375,3.010499954223633,26.31627082824707,0.0,17,236,2,1676.316270828247,0.0801
82,1,1,-9.03900146484375,5.315900802612305,26.21150016784668,0.0,5,278,2,2051.2115001678467,374.8952
82,1,1,-6.981201171875,3.3292999267578125,26.278539657592773,0.0,18,242,2,2051.278539657593,0.067
83,1,1,-7.92950439453125,-4.607399940490723,26.27248954772949,0.0,12,98,2,2076.2724895477295,24.9939
85,1,1,-5.9568939208984375,4.71150016784668,26.272310256958008,0.0,24,267,2,2126.272310256958,49.9998
85,1,1,-6.9095001220703125,-0.9902000427246094,26.37443923950196,0.0,18,163,2,2126.374439239502,0.1021
95,1,1,-8.14019775390625,3.2818002700805664,25.98479080200196,0.0,11,241,2,2375.984790802002,249.6104
98,1,1,-9.348800659179688,-6.621500015258789,25.99847984313965,0.0,3,61,2,2450.9984798431396,75.0137
98,1,1,-7.717803955078125,-7.251500129699707,26.16234016418457,0.0,13,49,2,2451.1623401641846,0.1639
98,1,1,-7.717803955078125,-7.251500129699707,26.16234016418457,0.0,13,50,2,2451.1623401641846,0.0
98,1,1,-7.218597412109375,-7.417799949645996,26.16349983215332,0.0,16,46,2,2451.1634998321533,0.0012
99,1,1,-8.471694946289062,2.5178003311157227,26.211759567260746,0.0,9,227,2,2476.2117595672607,25.0483
99,1,1,-8.139205932617188,-3.810000419616699,26.256500244140625,0.0,11,112,2,2476.2565002441406,0.0447
101,1,1,-9.249496459960938,4.108400344848633,26.118070602416992,0.0,4,256,2,2526.118070602417,49.8616
103,1,1,-6.77490234375,-4.194200038909912,26.004610061645508,0.0,19,105,2,2576.0046100616455,49.8865
103,1,1,-9.622299194335938,0.2406997680664062,26.14707946777344,0.0,2,186,2,2576.1470794677734,0.1425
105,1,1,-6.82470703125,0.7574996948242188,25.93829917907715,0.0,19,195,2,2625.938299179077,49.7912
110,1,1,-8.536407470703125,-2.6044998168945312,26.08135032653809,0.0,8,134,2,2751.081350326538,125.1431
115,1,1,-7.854598999023437,-2.452699661254883,26.267290115356445,0.0,13,137,2,2876.2672901153564,125.1859
116,1,1,-7.045806884765625,-1.0943002700805664,26.456439971923828,0.0,17,161,2,2901.456439971924,25.1891
119,1,1,-8.876800537109375,5.975200653076172,26.185279846191406,0.0,6,290,2,2976.1852798461914,74.7288
119,1,1,-8.859695434570312,5.973800659179688,26.185279846191406,0.0,6,290,2,2976.1852798461914,0.0
119,1,1,-8.34979248046875,2.113100051879883,26.4185791015625,0.0,10,220,2,2976.4185791015625,0.2333
121,1,1,-7.1020050048828125,5.277000427246094,26.23773002624512,0.0,17,277,2,3026.237730026245,49.8192
123,1,1,-5.6139068603515625,-7.929100036621094,26.110700607299805,0.0,26,37,2,3076.1107006073,49.873
124,1,1,-8.984298706054688,-1.9642000198364256,26.1058292388916,0.0,6,146,2,3101.1058292388916,24.9951
126,1,1,-7.600799560546875,-8.005199432373047,26.25950050354004,0.0,14,36,2,3151.25950050354,50.1537
128,1,1,-6.976593017578125,4.275299072265625,26.3522891998291,0.0,18,259,2,3201.352289199829,50.0928
131,1,1,-5.871795654296875,-8.476200103759766,25.89112091064453,0.0,25,27,2,3275.8911209106445,74.5388
131,1,1,-9.548202514648438,4.821599960327148,26.28296089172364,0.0,2,269,2,3276.2829608917236,0.3918
134,1,1,-5.962005615234375,-8.130399703979492,25.83445930480957,0.0,24,33,2,3350.8344593048096,74.5515
134,1,1,-8.742095947265625,-5.375400066375732,26.296039581298828,0.0,7,84,2,3351.296039581299,0.4616
135,1,1,-8.374099731445312,-7.064000129699707,26.249889373779297,0.0,9,53,2,3376.2498893737793,24.9538
137,1,1,-8.421798706054688,-5.304100036621094,26.31133079528809,0.0,9,85,2,3426.311330795288,50.0614
138,1,1,-7.2532958984375,-5.966400146484375,26.3530502319336,0.0,16,73,2,3451.3530502319336,25.0417
139,1,1,-9.75750732421875,5.487499237060547,25.92134094238281,0.0,1,281,2,3475.921340942383,24.5683
139,1,1,-9.75750732421875,5.487499237060547,25.92134094238281,0.0,0,281,2,3475.921340942383,0.0
142,1,1,-7.41650390625,4.056999206542969,26.149110794067383,0.0,15,255,2,3551.1491107940674,75.2278
150,1,1,-9.437301635742188,2.579700469970703,26.152019500732425,0.0,3,228,2,3751.1520195007324,200.0029
151,1,1,-9.386199951171877,3.0093002319335938,25.74515914916992,0.0,3,236,2,3775.74515914917,24.5931
151,1,1,-9.364593505859377,3.0257997512817383,25.74633026123047,0.0,3,236,2,3775.7463302612305,0.0012
153,1,1,-7.04400634765625,7.393800735473633,26.182350158691406,0.0,17,316,2,3826.1823501586914,50.436
160,1,1,-6.753997802734375,-4.878699779510498,26.354799270629883,0.0,19,93,2,4001.35479927063,175.1724
160,1,1,-6.753997802734375,-4.878699779510498,26.354799270629883,0.0,20,93,2,4001.35479927063,0.0
162,1,1,-9.256195068359377,-7.628499984741211,26.05014038085937,0.0,4,43,2,4051.0501403808594,49.6953
164,1,1,-8.372695922851562,-2.8064002990722656,26.34449005126953,0.0,9,130,2,4101.3444900512695,50.2943
165,1,1,-9.001495361328125,-7.40369987487793,25.99099922180176,0.0,6,47,2,4125.990999221802,24.6465
165,1,1,-9.214096069335938,0.5649003982543945,26.49492073059082,0.0,4,192,2,4126.494920730591,0.5039
165,1,1,-9.214096069335938,0.5649003982543945,26.49492073059082,0.0,4,191,2,4126.494920730591,0.0
168,1,1,-5.258697509765625,0.519200325012207,25.972620010375977,0.0,28,191,2,4200.972620010376,74.4777
173,1,1,-5.6053009033203125,4.041099548339844,25.999170303344727,0.0,26,255,2,4325.999170303345,125.0266
176,1,1,-7.2548980712890625,6.030300140380859,25.89244079589844,0.0,16,291,2,4400.892440795898,74.8933
178,1,1,-5.41180419921875,-7.530099868774414,26.09276962280273,0.0,27,44,2,4451.092769622803,50.2003
180,1,1,-6.7126007080078125,-2.5291004180908203,25.76873016357422,0.0,19,135,2,4500.768730163574,49.676
180,1,1,-9.738296508789062,-6.528600215911865,25.85408973693848,0.0,1,63,2,4500.8540897369385,0.0854
180,1,1,-6.218902587890625,1.1015996932983398,25.91585922241211,0.0,22,201,2,4500.915859222412,0.0618
180,1,1,-5.8115997314453125,-0.5138998031616211,26.34505081176757,0.0,25,172,2,4501.345050811768,0.4292
181,1,1,-6.645904541015625,-9.110099792480469,26.388240814208984,0.0,20,16,2,4526.388240814209,25.0432
185,1,1,-8.721099853515625,2.4188003540039062,26.154279708862305,0.0,7,225,2,4626.154279708862,99.766
186,1,1,-6.600799560546875,-2.8952999114990234,26.024150848388672,0.0,20,129,2,4651.024150848389,24.8699
186,1,1,-9.799697875976562,-6.9679999351501465,26.112060546875,0.0,1,55,2,4651.112060546875,0.0879
189,1,1,-7.916107177734375,-7.896599769592285,26.182079315185547,0.0,12,38,2,4726.182079315186,75.07
193,1,1,-5.9322052001953125,3.347100257873535,26.29616928100586,0.0,24,242,2,4826.296169281006,100.1141
